Date,Price,Open,High,Low,Vol.,Change %
24-Jan-17,41,42.79,43.5,41,0.50K,-4.18
23-Jan-17,42.79,43.4,44.08,42.56,0.37K,-1.41
22-Jan-17,43.4,43.92,44.6,42.86,0.81K,-1.18
21-Jan-17,43.92,43.52,44.68,43.15,0.37K,0.92
20-Jan-17,43.52,44.1,44.4,43.15,0.31K,-1.32
19-Jan-17,44.1,43.36,44.4,42.72,0.36K,1.71
18-Jan-17,43.36,44.13,44.8,41.71,1.33K,-1.74
17-Jan-17,44.13,43.34,45.93,43.25,0.64K,1.82
16-Jan-17,43.34,44.85,45.78,43.25,0.19K,-3.37
15-Jan-17,44.85,44.1,45.24,42.59,0.35K,1.7
14-Jan-17,44.1,43.07,44.15,43,0.28K,2.39
13-Jan-17,43.07,42.94,45,42.44,0.14K,0.3
12-Jan-17,42.94,41.28,46,39.2,0.89K,4.02
11-Jan-17,41.28,45.3,46.5,39.19,1.39K,-8.87
10-Jan-17,45.3,46.09,46.44,45.15,0.19K,-1.71
9-Jan-17,46.09,45.93,46.71,45.05,0.26K,0.35
8-Jan-17,45.93,46.21,48.06,45.5,0.32K,-0.61
7-Jan-17,46.21,46.12,47.43,43.9,0.28K,0.2
6-Jan-17,46.12,49.44,50.89,45,0.43K,-6.72
5-Jan-17,49.44,54.51,56.55,43.4,1.45K,-9.3
4-Jan-17,54.51,49.17,54.51,49.12,1.06K,10.86
3-Jan-17,49.17,49.13,50.9,48,0.75K,0.08
2-Jan-17,49.13,48.39,50.91,47.92,0.51K,1.53
1-Jan-17,48.39,48,49.2,47.62,0.39K,0.81
31-Dec-16,48,50.8,50.9,47.51,0.20K,-5.51
30-Dec-16,50.8,51,52.22,49.5,0.37K,-0.39
29-Dec-16,51,48.41,53.22,48.13,0.31K,5.35
28-Dec-16,48.41,44,57,42.76,1.29K,10.02
27-Dec-16,44,42.95,48,41.64,0.62K,2.44
26-Dec-16,42.95,45.39,46.27,42,0.35K,-5.38
25-Dec-16,45.39,47.04,49.04,42.67,0.18K,-3.51
24-Dec-16,47.04,52.12,55,47,0.48K,-9.75
23-Dec-16,52.12,46.8,65,45,2.21K,11.37
22-Dec-16,46.8,35.6,48.3,35.6,1.01K,31.46
21-Dec-16,35.6,37,39.6,35.1,0.34K,-3.78
20-Dec-16,37,34.5,40,34,0.72K,7.25
19-Dec-16,34.5,35.2,37.3,33.61,0.25K,-1.99
18-Dec-16,35.2,35.57,41,34.8,0.26K,-1.04
17-Dec-16,35.57,39.66,40.93,35.1,0.21K,-10.31
16-Dec-16,39.66,39.76,42,39.24,0.11K,-0.25
15-Dec-16,39.76,44.7,44.7,39,0.17K,-11.05
14-Dec-16,44.7,46.3,47.01,42.5,0.29K,-3.46
13-Dec-16,46.3,48.4,50.19,46,0.15K,-4.34
12-Dec-16,48.4,47.79,50.12,47.79,0.10K,1.28
11-Dec-16,47.79,48.42,51.15,47.78,0.14K,-1.3
10-Dec-16,48.42,49.66,52,47.74,0.21K,-2.5
9-Dec-16,49.66,52.61,53,49.3,0.24K,-5.61
8-Dec-16,52.61,55.69,57.4,52.55,0.24K,-5.53
7-Dec-16,55.69,48.49,61.5,47.08,0.62K,14.85
6-Dec-16,48.49,50,52.5,46,0.44K,-3.02
5-Dec-16,50,57.67,58.41,50,0.46K,-13.3
4-Dec-16,57.67,58.66,61.88,57.67,0.14K,-1.69
3-Dec-16,58.66,59.03,60.77,57.78,0.17K,-0.63
